translated_var,finbif_api_var,dtype,lite_download_var
record_id,Unit.UnitID,object,Havainnon tunniste
record_order,Unit.UnitOrder,int,
reported_name,Unit.TaxonVerbatim,object,Alkuperäinen nimi
record_issue,Unit.Quality.Issue.Issue,object,
record_issue_source,Unit.Quality.Issue.Source,object,
record_issue_message,Unit.Quality.Issue.Message,object,
reported_taxon_confidence,Unit.ReportedTaxonConfidence,object,Havainnoitsijan oman määrityksen varmuus
taxon_id,Taxon.ID,object,
taxonomic_order,Taxon.TaxonomicOrder,int,Taksonominen järjestys
scientific_name_interpreted,Taxon.ScientificName,object,Tieteellinen nimi
common_name_finnish,Taxon.FinnishName,object,Suositeltu yleiskielinen nimi
common_name_english,Taxon.EnglishName,object,
common_name_swedish,Taxon.SwedishName,object,
red_list_status,Taxon.LatestRedListStatus,object,Uhanalaisuusluokka
threatened_status,Taxon.Lajiturva,object,
regulatory_status_finnish,Taxon.StatusesFI,object,
informal_groups_finnish,Taxon.InformalGroupFI,object,
informal_groups_english,Taxon.InformalGroupEN,object,
abundance_verbatim,Unit.Abundance,object,Määrä
abundance_unit,Unit.AbundanceUnit,object,Määrän yksikkö
annotated_taxon_id,Unit.Interpretations.AnnotatedTaxonId,object,
abundance_interpreted,Unit.Interpretations.IndividualCount,int,Yksilömäärä (tulkittu)
pair_abundance,Unit.Interpretations.PairCount,int,
invasive_control_class,Unit.Interpretations.InvasiveControl,object,
record_quality,Unit.Interpretations.RecordQuality,object,Havainnon luotettavuus
record_derived_tags,Unit.Interpretations.Tags,object,
record_basis,Unit.RecordBasis,object,Havaintotapa
type_specimen,Unit.TypeSpecimen,bool,
determiner,Unit.Det,object,Määrittäjä (det.)
sex,Unit.Sex,category,Sukupuoli
life_stage,Unit.LifeStage,category,Elinvaihe
is_wild,Unit.Wild,category,
is_alive,Unit.Alive,bool,
local,Unit.Local,bool,
record_keywords,Unit.Keywords,object,
is_breeding_location,Unit.BreedingSite,bool,
plant_status_code,Unit.PlantStatusCode,category,
atlas_code_id,Unit.AtlasCode,category,Pesimävarmuusindeksi
atlas_class_id,Unit.AtlasClass,category,Pesimävarmuusluokka
individual_id,Unit.IndividualID,object,
record_notes,Unit.Notes,object,Havainnon lisätiedot
record_annotation_count,Unit.AnnotationCount,int,
record_media_count,Unit.MediaCount,int,
sample_count,Unit.SampleCount,int,
event_id,Gathering.GatheringID,object,
event_order,Gathering.GatheringOrder,int,
section,Gathering.GatheringSection,int,
event_issue,Gathering.Quality.Issue.Issue,category,
event_issue_source,Gathering.Quality.Issue.Source,object,
event_issue_message,Gathering.Quality.Issue.Message,category,
time_issue,Gathering.Quality.TimeIssue.Issue,category,
time_issue_source,Gathering.Quality.TimeIssue.Source,category,
time_issue_message,Gathering.Quality.TimeIssue.Message,object,
location_id,Document.NamedPlaceID,object,
location_issue,Gathering.Quality.LocationIssue.Issue,category,
location_issue_source,Gathering.Quality.LocationIssue.Source,category,
location_issue_message,Gathering.Quality.LocationIssue.Message,object,
date_start,Gathering.Date.Begin,object,
date_end,Gathering.Date.End,object,
hour_start,Gathering.HourBegin,int,
hour_end,Gathering.HourEnd,int,
formatted_date_time,Gathering.DisplayDateTime,object,Aika
team,Gathering.TeamMembers,object,Havainnoija(t)/Kerääjä(t)
lat_10_ykj,Gathering.Conversions.YKJ_10KM.Lat(N),int,
lon_10_ykj,Gathering.Conversions.YKJ_10KM.Lon(E),int,
lat_1_ykj,Gathering.Conversions.YKJ_1KM.Lat(N),int,
lon_1_ykj,Gathering.Conversions.YKJ_1KM.Lon(E),int,
century,Gathering.Conversions.Century,int,
decade,Gathering.Conversions.Decade,int,
year,Gathering.Conversions.Year,int,
month,Gathering.Conversions.Month,int,
